aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Малюгин, Л			Драматургия Чехова и ее исследователи	Октябрь	1960	1	176-192
Сурганов, В			Человек на земле. [Крестьянская тема влитературе и современность]	Октябрь	1960	1	193-203
Светлакова, М			Писатели Большой Колымы	Октябрь	1960	1	204-208
Трифонова, Т			О «русском творческом стиле»,догматизме и жизни. [Лит.-критич. заметки]	Октябрь	1960	1	209-215
Андреев, Александр			Грачи прилетели.  Роман	Октябрь	1960	1	3-82
Асеев, Ник			Богатырская поэма. (Землякам-курянам)	Октябрь	1960	1	83-85
Нагибин, Юрий			Разговор. Рассказ	Октябрь	1960	1	86-91
Рыжиков, Иван			Неувядаемый венок. Поэма	Октябрь	1960	1	92-99
Маркарян, Маро			Счастье. Стихи:  «Жернов старой,заброшенной мельницы...» — «Бывают дни — беда нагрянет...»— «Тыговоришь мне...» — «Я, как могу...»— «Жажда света, жажда счастья...»— «Мне трудно думать...» [Пер. с арм:  Б. Слуцкий; Е. Ильина;Е.Николаевская; Л. Мартынов; Э. Александрова; А. Яшин]	Октябрь	1960	2	137-139
Коновалов, Григорий			Мохнаков. Рассказ	Октябрь	1960	2	140-150
			Что такое коммунизм.   [К дискуссии в журн.  «Октябрь». Статьи]:  Б. Брайнина. Первая потребность жизни. (Заметки обЯрославле). — Я. Тавров. Новое в новом	Октябрь	1960	2	151-179
Чичков, Вас			Свежий ветер над Кубой.  [Из дневникажурналиста]	Октябрь	1960	2	185-198
Антокольский, П			«Медный  всадник».   [Опыт  анализа]	Октябрь	1960	2	199-214
Шолохов, Михаил			Поднятая целина. Роман. Кн. 2	Октябрь	1960	2	3-62
Друнина, Юлия			Хочется верить... Стихи:  На кухне. —В закусочной. — Очень хочется верить... — «Незаметновзрослеютдети...» — «Женам — ждать...»	Октябрь	1960	2	63-65
Андреев, Александр			Грачи прилетели. Роман	Октябрь	1960	2	66-136
Сухов, Федор			Яблочная сторона. Стихи:  Отец мой. —Омоем деде	Октябрь	1960	3	112-114
Долматовский, Евг			Из новых стихов:  Кушка. — Вечер вСевастополе. — Миндаль на Малаховом кургане	Октябрь	1960	3	115-117
Уваров, Ю			Дальний гарнизон. Рассказ	Октябрь	1960	3	118-128
Ковалевич, Г			В этот день. Рассказ	Октябрь	1960	3	129-134
Парнис, Алексис			Терек. — Баллада о Москве. Стихи.Пер. с греч:  Р. Рождественский; П. Железнов]	Октябрь	1960	3	135-139
			Что такое коммунизм.  [К дискуссии в журн.«Октябрь». Статьи]:  С. Струмилин. Мысли о грядущем. — В.Бильшай.Любовь, семья и женский труд. — Г. Кудымов. Зримые черты. — Ю.Студенцов. Пробуждать новое в человеке. — А. Тынянова.Важные вопросы	Октябрь	1960	3	140-163
Мороз, Анна			И наука и искусство. (Заметки обИнституте косметики). [К дискуссий в журн. «Октябрь» на тему «Красотаи здоровье»]	Октябрь	1960	3	164-174
Султанов, Камиль			Эффенди Капиев. [Лит. портрет]	Октябрь	1960	3	175-183
Паустовский, Константин			Мимолетный   Париж.  [Очерк]	Октябрь	1960	3	184-203
Якименко, Л			Размышления о герое. [Лит.-критич.заметки]	Октябрь	1960	3	204-214
Кашкин, Иван			О самом главном. Проза Э. Хемингуэя	Октябрь	1960	3	215-223
Шолохов, Михаил			Поднятая целина. Роман. Кн. 2	Октябрь	1960	3	3-111
Прокофьев, Александр			Гордимся именем твоим. [Стихи о В. И. Ленине]	Октябрь	1960	4	12
Шейнин, Лев			Навеки великий и вечно живой. [К 90-летию со дня рождения В. И. Ленина]	Октябрь	1960	4	3-11
Шолохов, Михаил			Поднятая целина. Роман. Кн. 2	Октябрь	1960	4	13-64
Гонцов, Николай			У нас в деревне. Рассказы	Октябрь	1960	4	138-153
			Что такое коммунизм. [К дискуссии в журн. «Октябрь».Статьи]:  Е. Ананьев. Подстальным парусом. — М. Смолянинов. Мои мысли окоммунизме. — А. Позднышев. Брак и семья при коммунизме. — Л. Чумаков. Человек украсит землю трудом	Октябрь	1960	4	154-166
			Эстетика и современность. [К дискуссии в журн. «Октябрь». Статьи]:  И. Ганенко. Против чуждых влияний. — П.Соколов-Скаля. За светлую правду в искусстве	Октябрь	1960	4	167-178
Галин, Борис			Азарт юности. [В. И. Ленин и разрешениенар.-хоз. проблем. Очерк]	Октябрь	1960	4	179-200
Астафьев, В			Родной голос. [О творчестве поэта И. Д.Рождественского]	Октябрь	1960	4	201-205
Бабочкин, Борис			Заметки об искусстве актера	Октябрь	1960	4	206-213
Кубышкин, Михаил			Кисельные берега. Поэма	Октябрь	1960	4	65-89
Снегов, Сергей			Река прокладывает русло. Роман	Октябрь	1960	4	90-137
Кубышкин, Михаил			Кисельные берега. Поэма	Октябрь	1960	5	109-130
Алигер, Маргарита			Шесть стихотворений:  Человек. —Ковш. — Березовая роща. — «Распластывались коршуны надстепью...»— Переулки. — Зимнее море	Октябрь	1960	5	131-135
			Что такое коммунизм.  [К дискуссии в журн.«Октябрь». Статьи]:  С. Синельников. Самое необычайное. — Ю.Гальперин. Нельзя не любить. — Ф. Исправник. Идущиевпереди	Октябрь	1960	5	136-158
Дынкин, А			По Франции, Англии, Бельгии [Путевыеочерки]	Октябрь	1960	5	159-180
Фролов, В			Мастерство открытия мира. [К проблемамсоврем. поэзии]	Октябрь	1960	5	181-194
Караганов, А			Сюжет — время. [О пьесах А. Арбузова«Двенадцатый час» и «Иркутская история»]	Октябрь	1960	5	195-206
Макаров, А			Поэзии нужна земля. [О творчестве А.Лупана]	Октябрь	1960	5	207-211
Козинцев, Григорий			Шекспировские пейзажи. [Поместам, связанным с жизнью и творчеством В. Шекспира]	Октябрь	1960	5	212-223
Щеголихин, Иван			Снега метельные. Роман	Октябрь	1960	5	3-36
Снегов, Сергей			Река прокладывает русло. Роман	Октябрь	1960	5	37-108
Ерикеев, Ахмед			«Кружевной украшенные тенью...» Стихи. Пер. с татар: С. Липкий	Октябрь	1960	6	22
Власов, А			За всестороннее новаторство. (К Всесоюз. совещанию по градостроительству)	Октябрь	1960	6	3-11
Викулов, Сергей			Земляки. Стихи: Живу на земле. — Доска почета. — Выбирали пастуха.— Перед дорогой	Октябрь	1960	6	12-16
Рядченко, Иван			Зеленые брызги весны. [Стихи]: Хлеб и порох. — «На дальний Марс мысмотрим в телескоп...» — «Зеленые брызги весны...» — Летнее утро. — Березка	Октябрь	1960	6	17-19
Винниченко, И			Березки. (Заметки публициста). [К дискуссии в журн. «Октябрь» на тему«Что такое коммунизм»]	Октябрь	1960	6	186-206
Грачев, Николай			Я знаю, как копаются колодцы. — Памяти А. Фатьянова. — «Извивыречушки, овражек...» — Опора. [Стихи]	Октябрь	1960	6	20-21
Хренков, Д			Мустай Карим. [Лит. портрет]	Октябрь	1960	6	207-212
Щеголихин, И			Снега метельные. Роман	Октябрь	1960	6	23-89
Снегов, С			Река прокладывает русло. Роман	Октябрь	1960	6	90-185
Сизов, Г			Истоки изобилия. [О достижениях трудящихся Курганской обл.]	Октябрь	1960	7	3-11
Панферов, Федор			Во имя молодого. Роман	Октябрь	1960	7	12-119
Евтушенко, Евг			Москва-товарная. — Волге. — Юмор. — На фабрике «Скороход». [Стихи]	Октябрь	1960	7	120-124
Тряпкин, Николай			Время великого старта. Стихи: «Я вышел оттуда, где знают простейшие вещи...» — «Прозрачная осень...»	Октябрь	1960	7	125-126
Тарасенко, Николай			Багдадские небеса. Стихи: За молодостью. — Дорога на Маяковски. — Тишины не было. — Прометей	Октябрь	1960	7	127-129
Малышко, Андрей			Четыре стихотворения: «Дни идут, и не вошла в привычку...» — «Он частенько ездил на машине...» — «Все шумят дубки заветные...» — «Ветер марта, и снежинки тают...» Пер. с укр: А. Прокофьев	Октябрь	1960	7	130-131
Гидаш, Анатоль			Весна. — Старость. — Снегирь. [Стихи]. Пер. с венгер: Л. Мартынов	Октябрь	1960	7	132-133
			Что такое коммунизм. [К дискуссии в журн. «Октябрь». Статьи]: В. Прокофьев. На благо людей. — И. Ганенко. Неисчерпаемая тема. — Ц. Степанян. Этапы и сроки. — А. Козлов. Люди и время. — П. Дячук. Мощная народная поступь. — М. Левкович и Э. Фукс. Любовь и семья	Октябрь	1960	7	150-170
Величко, В			Посевы солнца. [О строителях Гайского медного рудника. Оренб. обл. Очерк]	Октябрь	1960	7	171-183
Головко, А			Вместе с флотом. [Дневники 1941—1945 гг.] Сокр. главы из книги, выпускаемой Воениздатом	Октябрь	1960	7	184-208
Перцов, В			Маяковский об Америке	Октябрь	1960	7	209-220
Шкловский, В			Разговор по поводу. [О творчестве лит. критика А. Макарова]	Октябрь	1960	7	221-223
Халов, Павел			Зрелость. Стихи	Октябрь	1960	8	156
Кулагин, Владимир			У гидростанции. — Верхолаз. [Стихи],	Октябрь	1960	8	157
Кубышкин, Михаил			Поворот. — Судьба серпа. — Дорога. [Стихи]	Октябрь	1960	8	153-155
Максимов, Николай			Дома. — «Здесь ветлы хохочут...» — В гостях у матери	Октябрь	1960	8	158-159
Кайтуков, Георгий			У могилы Анны Цаликовой в Пятигорске. [Стихи]. Пер. с осет: В. Тушнова	Октябрь	1960	8	160-161
Тавров, Я			Выпрямление чувств. [О людях моск. завода им. Владимира Ильича.Очерк. К дискуссии в журн. «Октябрь» на тему «Что такое коммунизм»]	Октябрь	1960	8	162-172
Головко, А			Вместе с флотом. [Дневники 1941—1945 гг.] Сокр. главы из книги,выпускаемой Воениздатом	Октябрь	1960	8	173-192
Чалмаев, В			Солнце восходит с рабочей ладони! [О советском рабочем классе.Публицкстич. заметки]	Октябрь	1960	8	193-205
Сергеев-Ценский, С			Талант и гений. [Заметки о комедии Н. В. Гоголя «Ревизор»]	Октябрь	1960	8	206-212
Панферов, Федор			Во имя молодого. Роман	Октябрь	1960	8	3-152
			Что такое коммунизм. [К дискуссии в журн. «Октябрь». Статьи]: М. Привалов. Разговор по душам. — П. Прозоров. Близкие дали	Октябрь	1960	9	107-123
Дымшиц, В			Как строили металлургический завод в Индии. [О строительстве Бхилайского завода]. (Заметки инженера)	Октябрь	1960	9	124-153
Гулиа, Георгий			Каштановый дом. Записки молодой учительницы. [Повесть]	Октябрь	1960	9	13-89
Лучанинов, Даниил			Туляки. [Очерк]	Октябрь	1960	9	154-166
Маевский, В			Австралийские записки. [Об искусстве и литературе Австралии]	Октябрь	1960	9	167-178
Пушков, В			Первые встречи. [Воспоминания о С. Н. Сергееве-Ценском]	Октябрь	1960	9	186-190
Чуковский, Корней			Короленко в кругу друзей. Из воспоминаний	Октябрь	1960	9	191-205
Бейлин, А			Смех — дело нешуточное. [О творчестве А. Райкина]	Октябрь	1960	9	206-215
Степанян, Ц			Коммунизм и собственность	Октябрь	1960	9	3 -12
Федоров, Василий			Седьмое небо. Поэма. Ч. 2	Октябрь	1960	9	90-106
Асеев, Николай			Мед и яд. Стихи	Октябрь	1960	10	3
Вознесенский, Андрей			Пожар в Архитектурном институте. Стихи	Октябрь	1960	10	122-123
Кочетков, Виктор			Четверостишия	Октябрь	1960	10	124-125
Марков, Алексей			«Новый год... Поздравил бы кто-либо...» — Подпольная типография. —Хатенка. — Рассказ матери. — Без меня. — Чужая походка. — «Я знаю, где-то подземлей...» [Стихи]	Октябрь	1960	10	126-128
			Что такое коммунизм. [К дискуссии в журн. «Октябрь». Статьи]: А. Медников. ГумерТеляшеа и его друзья. — А. Перемыслов, Дом будущего. (Заметки архитектора). — Ю.Иванова. Сообща	Октябрь	1960	10	129-155
Горелик, И			Человек и дело человека. [О П. А. Камышеве и его деятельности в областимеханизации лекальных работ. Очерк]	Октябрь	1960	10	166-179
Михайлов, Н			На родине Рабиндраната Тагора. [Впечатления от посещения дома Тагора вКалькутте]	Октябрь	1960	10	180-182
Храпченко, М			Черты исторической эпопеи. [О романе Л. Н. Толстого «Война и мир»]	Октябрь	1960	10	183-214
Паустовский, Константин			Бросок та юг. Повесть. [5-я книга из цикла «Повесть о жизни»]	Октябрь	1960	10	4-121
Забашта, Любовь			Сердце Шопена. Стихи. Пер. [с укр]: В. Звягинцева	Октябрь	1960	11	112
Стельмах, Михаил			В лесах Черниговщины. Стихи. Пер. [с укр.]: В. Щепотев	Октябрь	1960	11	113
			Николай Иванович Замошкин. [Литературовед. Некролог]	Октябрь	1960	11	223
			Глашатай мира. [К итогам деятельности советской делегации на XV сессии Генеральной Ассамблеи ООН. Передовая]	Октябрь	1960	11	3-5
Сельвинский, Илья			О времени и о себе. Лирич. поэма	Октябрь	1960	11	6-10
Рытхэу			Ринтын едет в университет. Повесть	Октябрь	1960	11	11-111
Рыльский, Максим			«Может, вам окажется пригодной...» Стихи. Пер. [с укр.]: В. Звягинцева	Октябрь	1960	11	112-113
Ивашкевич, Ярослав			Женитьба господина Бальзака. Комедия в 3 д. Авториз. пер. с польского: Г. Штайн	Октябрь	1960	11	114-148
Луконин, Мих			Четыре стихотворения: «Не утешенье ты...» — Калининграду. — Волжское. — Ночью	Октябрь	1960	11	149-152
Шматков, А			Мужество. [О моральном облике советского человека. К дискуссии в журн. «Октябрь» на тему «Что такое коммунизм»]	Октябрь	1960	11	153-162
Чаклин, А			География рака	Октябрь	1960	11	163-172
Шейнин, Лев			Братство. Польские записки	Октябрь	1960	11	173-193
Мотылева, Т			Пример великой жизни. [К 50-летию со дня смерти Л. Н. Толстого]	Октябрь	1960	11	194-203
Эльяшевич, Арк			О лирической прозе. [Заметки о произведениях О. Берггольц, В. Солоухина и В. Пановой]	Октябрь	1960	11	204-210
Герасимов, Сергей			Кино и зритель	Октябрь	1960	11	211-222
Кочетов, В.			К новым рубежам. Заметки с Пленума ЦК КПСС	Октябрь	1961	2	3-7
Сельвинский, Илья.			Письмо к интеллигенции Запада. Стихи	Октябрь	1961	2	120-125
Паустовский, Константин.			Амфора. Рассказ	Октябрь	1961	2	126-138
Смирнов, Сергей.			Из «Книги посвящений». Стихи: Открытое письмо. — Дружба. —Доверчивость. — Вьюга. — Байкал	Октябрь	1961	2	139-140
Ошанин, Лев.			Самолет пошел на Богучаны... Стихи: «Летим мы в холодном полуночноммире...» — «В этих чашах, где кедры свой возраст забыли...» — Бирюса. — Таежнаябаллада. — «Самолет пошел на Богучаны...»	Октябрь	1961	2	141-145
Гребенщикова, Людмила.			Два стихотворения: «По полю ходит гордая...» — «Это даже нерассказ...»	Октябрь	1961	2	146-147
Корнюшин, Леонид.			Полынь. Рассказ	Октябрь	1961	2	148-157
Кожевников, Савва.			Енисей, брат океана. [Заметки о поездке по Енисею]	Октябрь	1961	2	158-167
Писаржевский, Олег.			Сезам, откройся! [Заметки о Всесоюз. конференции по ядернымреакциям. Москва. 1960]	Октябрь	1961	2	168-177
Шварц, Анатолий.			Доктор и электрон. [О применении электроники в медицине]	Октябрь	1961	2	178-189
Чичков, Вас.			Нефть в саваннах. [Заметки о поездке в Венесуэлу]	Октябрь	1961	2	190-204
Зелинский, К.			Парадокс о критике. (К спорам о жанре)	Октябрь	1961	2	205-215
Бабаевский, Семен.			Сыновний бунт. Роман	Октябрь	1961	2	8-119
Смеляков, Ярослав.			Россия братается с Кубой. Стихи	Октябрь	1961	3	87
Долматовский, Евг.			Свидание в Барселоне. Стихи	Октябрь	1961	3	90
Асеев, Николай.			За здоровье! Стихи	Октябрь	1961	3	3-4
Рядченко, Иван.			Люди и боги. — Умирал человек... — Помада на губах. [Стихи]	Октябрь	1961	3	104-106
Грунин, Юрий.			Земля моей Родины. — Свет в степи. — Ала-Тау. — Жажда. [Стихи]	Октябрь	1961	3	107-109
Шевченко, А.			Взгляд вперед. [О борьбе за выполнение решений январского ПленумаЦК КПСС в колхозе им. Ленина. Лабин. район Краснодарского края]	Октябрь	1961	3	110-116
Непомнящий, К.			Патрис Лумумба, его друзья и враги	Октябрь	1961	3	117-129
Кончаловская, Наталья.			Сердцем ярые потомки. (В Доме-музее им. В. И. Сурикова. Иззаметок о поездке в Красноярск]	Октябрь	1961	3	130-141
Ворошилов, К.			Разгром мятежников. К 40-летию ликвидации кронштадтского мятежа	Октябрь	1961	3	142-156
Ермольева, З.	Навашин, С		Век антибиотиков в медицине	Октябрь	1961	3	157-168
Ефимов, Бор.			Радости и горести карикатуриста	Октябрь	1961	3	169-178
Рыльский, М.			Поэтическое мировоззрение Тараса Шевченко. (К 100-летию со дня смерти)	Октябрь	1961	3	179-185
Кардин, В.			Преодолев земное притяжение. [Критич. заметки о науч.-фантастич.литературе]	Октябрь	1961	3	186-194
Астахов, И.			Эстетический субъективизм и проблема прекрасного	Октябрь	1961	3	195-201
Корнилова, Г.			Ярослав Смеляков. [Лит. портрет]	Октябрь	1961	3	202-209
Чалмаев, В.			Знаменосцы сорок первого года. [О творчестве О. Гончара]	Октябрь	1961	3	210-214
Бабаевский, Семен.			Сыновний бунт. Роман	Октябрь	1961	3	5-83
Прокофьев, Александр.			Горислава. — «Вот иду я, иду я...» — «Зарастает тропинка...» —«Что нетленно, то все простое...» — «Ходит песня моя, как ветер...» — «По веснечудесен...» — «День за днем проходит...» [Стихи]	Октябрь	1961	3	84-86
Санников, Григорий.			Из цикла «Путешествие». Стихи: «Море Ирландское...» — Облака	Октябрь	1961	3	88-89
Шукшин, Василий.			Три рассказа: Правда. — Светлые души. — Степкина любовь	Октябрь	1961	3	91-103
Соболев, Леонид.			Устремленность в будущее. [О задачах советских писателей]	Октябрь	1961	4	5-7
Смирнов, Сергей.			Из «Книги посвящений». Стихи: Самочувствие. — Курлы-курлы. —Летняя ночь. — Горлинки	Октябрь	1961	4	161-162
Шехтер, Марк.			Парад на Красной площади. — Макуха. — Глаза. — Метель. — Товарищупо оружию. — Иосиф Павлович. — Пятидесятилетие. [Стихи]	Октябрь	1961	4	163-165
Гарнакерьян, Ашот.			Двадцатый век. — «Пойми! Ни на какой границе...» — О правде. — Одоброте. — «Я за крутую беспощадность...» — Об одном поэте. — «Обсыпало снежком...»[Стихи]	Октябрь	1961	4	166-167
Кирпотин, В.			Философия свободы	Октябрь	1961	4	168-183
			Говорят читатели. [К вопросу о закреплении земли за звеньями в колхозах и совхозах.Отклики на очерк Б. Можаева «Земля ждет» в журн. «Октябрь» 1961 1]: К. Машкин,С. Машкин, Е. Пятенкова и Л. Машкина. Это касается каждого. — Ф. Бурляев. Согласен,но с уточнениями. — Есть над чем подумать. (Обзор писем)	Октябрь	1961	4	184-191
Кожевников, Савва.			Душевная красота. [О людях поселка Маклаково Краснояр. края.Очерк]	Октябрь	1961	4	192-201
Эльяшевич, Арк.			Письма е критике	Октябрь	1961	4	202-209
Журавлев, Василий.			Путешествие к Разливу. [Стихи о В. И. Ленине]	Октябрь	1961	4	64-66
Лисянский, Марк.			Столовая в Смольном. — Улица Мари-Роз. [Стихи о В. И. Ленине]	Октябрь	1961	4	67-68
Ажаев, Василий.			Предисловие к жизни. Повесть	Октябрь	1961	4	69-160
Казакевич, Эм.			Синяя тетрадь. [Повесть о В. И. Ленине]	Октябрь	1961	4	8-63
			Раздумья перед XXII съездом КПСС. [Заметки писателей]: Л. Шейнин. Гордость планеты. — В. Очеретин. Советский характер. — Г. Марков. Приметы нашего времени. — Е. Пермяк. Накануне	Октябрь	1961	5	3-18
Абашидзе, Григол.			Путешествие в три времени. Полуфантастич. трагикомедия в 3 д. Авториз. пер. с груз: А. Кривицкий и М. Луконин	Октябрь	1961	5	100-143
Алигер, Маргарита.			Из новой книги. Стихи: Лесное озеро. — Сандаловый слоник. — Конец сентября	Октябрь	1961	5	144-145
Евтушенко, Евг.			Урия Гип. — Верлен. — Сон в Африке. — Женщина в море. [Стихи]	Октябрь	1961	5	146-150
Лидия, Вл.			Рассказы: Камерун. — Из книги «Дорога журавлей»	Октябрь	1961	5	151-160
Ойслендер, Александр.			Современник. — Внимая весеннему шуму. — Женщины, грустившие в России. [Стихи]	Октябрь	1961	5	161-164
Кузнецова, Светлана.			Три стихотворения: «Над нашей судьбою метель тополиная...» — Сердце. — Сказка	Октябрь	1961	5	165-166
Винниченко, Иван.			Ледолом. [К организационным и экон. проблемам сел. хозяйства]. (Из блокнота писателя)	Октябрь	1961	5	167-178
Варваров, Николай.			Звездный час человечества. [Об успехах и перспективах советской науки в освоении космич. пространства]	Октябрь	1961	5	179-184
Венцлова, Антанас.			Слово о великом поэте. К 100-летию со дня рождения Р. Тагора	Октябрь	1961	5	185-186
Тагор, Рабиндранат.			Жатва. [Избранные стихотворения в прозе из сборника «Fruit-Gathering». На рус. яз. публикуются впервые. Пер. с англ. и предисл. Н. Палибиной]	Октябрь	1961	5	187-190
Александропулос, Мицос.			Ночи и рассветы. Роман. Пер. с греч: С. Ильинская	Октябрь	1961	5	19-89
Гор, Геннадий	Друзин, Валерий		Молодость Крайнего Севера. [О творчестве писателей Крайнего Севера]	Октябрь	1961	5	191-195
Михалевич, А.			О «холодном ннтеграле» и «теплой плоти поэзии». [В связи со статьями К. Зелинского «Камо грядеши» и «Научная революция и литература», опублик. в «Лит. газ.» от 5 и 10 марта и 18 июня за 1950 г.]. Полемич. заметки	Октябрь	1961	5	196-209
Иванова, Ленина.			«Звезда», 1960 года. (По страницам прозы)	Октябрь	1961	5	210-215
Орлов, Сергей.			Одна любовь. Поэма	Октябрь	1961	5	90-99
			В большом походе. [О статье Н. С. Хрущева «К новым успехам литературы и искусства» в журн. «Коммунист» 1961 7]	Октябрь	1961	6	3-6
			Раздумья перед XXII съездом КПСС. [Заметки писателей]: А. Гудайтис-Гузявичюс. Чудесные всходы. — А. Бикчентаев. Дорога дарит книги	Октябрь	1961	6	7-12
Авраменко, Илья.			Зарубки. Поэма	Октябрь	1961	6	119-122
Георгиевская, Сусанна.			Молодые. Повесть	Октябрь	1961	6	123-136
Александропулос, Мицос.			Ночи и рассветы. Роман. Пер. с греч: С. Ильинская	Октябрь	1961	6	13-118
Лисовский, Казимир.			Шушенская весна. [О В. И. Ленине]. — Прощание с паровозом. — На выставке. — Девочка. [Стихи]	Октябрь	1961	6	137-138
Фоломин, Федор.			Из «Волжской тетради». Стихи: Шлюпка. — Цветок. — «Когда мороз по Керженцу шарахнет...» — Заздравная. — «Зима в пути оставит след медвежий...» — Кружева. — Глаза полузакрыв	Октябрь	1961	6	139-141
Титов, Василий.			Новый корень. [К вопросу об организации труда и быта сел. молодежи. Очерк]	Октябрь	1961	6	142-151
			Земля ждет. [Об опыте закрепления земли за звеньями в колхозах и совхозах. Отклики на одноим. очерк Б. Можаева в журн. «Октябрь» 1961 1: А. Карпюк; П. Алейников; Ю. Петров; З. Вячкилева; М. Гендельман]	Октябрь	1961	6	152-155
Марягин, Георгий.			Кузбасс зажигает маяки. [Вопросы механизации и автоматизации произвол. процессов на Кузнецком металлургич. комбинате и шахтах Кузбасса]	Октябрь	1961	6	156-163
Сапаров, А.			Было так... Из тетради воен. лет	Октябрь	1961	6	164-169
Архипов, В.			Оружие критики. К 150-летию со дня рождения В. Г. Белинского	Октябрь	1961	6	171-178, с портр.
Соловьев, Борис.			Легкий несессер и тяжелая кладь. [О новаторстве в поэзии. По поводу выступлений некоторых лит. критиков]	Октябрь	1961	6	179-193
Литвинов, В.			Тендряков «старый» и Тендряков «новый». [О творчестве писателя]	Октябрь	1961	6	199-209
Фоменко, Лидия.			Снова про любовь. [Тема любви в советской литературе последних лет]	Октябрь	1961	6	210-214
Индова, Екатерина.			Два стихотворения: «У речки седую ольху...» — «Я имя твое незабуду...»	Октябрь	1961	7	170
Ниедре, Ян.			Писатель и его герой. [К проблеме создания образа положительного героя всоветской литературе]	Октябрь	1961	7	3-6
Муканов, Сабит.			Сказание об Алдабергенове. [Казах, писатель о своей работе надстихотворным очерком, посвящ. пред. колхоза им. Сталина Н. Алдабергенову]	Октябрь	1961	7	6-7
Антокольский, Павел.			Апрель 1961 года. Стихи	Октябрь	1961	7	8-10
Первенцев, Аркадий.			Матросы. Роман. Кн. 2	Октябрь	1961	7	11-47
Кустов, Павел.			Беломорье. Стихи: Волна. — Рыбачий отдых,— Дружба. — ЖенщиныПоморья	Октябрь	1961	7	137-138
Исбах, Александр.			Мой друг Фернандо. Рассказ	Октябрь	1961	7	139-146
Олеша, Юрий.			Ни дня без строки, [Отрывки из книги воспоминаний. С предисл. В.Шкловского «Об авторе и его книге»]	Октябрь	1961	7	147-169
Соколов, Т.			Новое в краю Целинном. [Об успехах в развитии сел. хозяйства]	Октябрь	1961	7	171-177
Былинов, Ал.			Дробот, Шевченко и я. Из записок секретаря директора	Октябрь	1961	7	178-185
Соловьев, Борис.			Легкий несессер и тяжелая кладь. [О новаторстве в поэзии. По поводувыступлений некоторых лит. критиков]	Октябрь	1961	7	186-199
Чарный, М.			Для кого мы пишем? Заметки о критике	Октябрь	1961	7	200-208
Борев, Юрий.			Четыре ахиллесовы пяты. [По поводу статьи И. Астахова «Эстетическийсубъективизм и проблема прекрасного» в журн. «Октябрь», 1961 З]	Октябрь	1961	7	209-212
Васильев, Сергей.			Красный галстук. Поэма	Октябрь	1961	7	48-58
Аграновский, Анатолий.			Открытые глаза. Докум. повесть [о летчике-испытателе А. Н.Гринчике]	Октябрь	1961	7	59-136
Ковалев, Василий.			Донбасс. Стихи	Октябрь	1961	8	157
Сидоров, Валентин.			Здесь для меня начиналась Россия. Стихи	Октябрь	1961	8	158
