aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Мицкевич, А. П			Наш вымпел на Луне. [О достижениях иперспективах космонавтики]	Молодая гвардия	1959	11	189-204
Трегуб, С			Жить — это создавать, создавать — это радоваться! [По материалам переписи А. М. Горького с В. Н. Жаковой]	Молодая гвардия	1959	11	205-211
Жакова, Вера			Настасья Хлопова. [Рассказ. Публикуется впервые].Илл:  Н. Гордейчик	Молодая гвардия	1959	11	212-218
Филипенко, А			Нам на Восток, Иринка? Повесть. Илл:  Е. Киверина	Молодая гвардия	1959	11	99-152
			Год 1959. [Интервью представителей советскоймолодежи]: В. Горбачев. Великие свершения. — В. Михневич.Думая обудущем... — Р. Стручкова. Американские встречи. — А.Корнеев. В большую жизнь. — Р. Васина. Мы будем вместе. —Н. Мануковский. Большая механизация. — О. Семенов.Двадцать миллионов. — Н. Фоменко.Когда все делается по-хозяйски. Илл:  В. Савостьянов	Молодая гвардия	1959	12	3-16
Иванов, Борис			Дни, которые потрясли мио. [К итогампоездки Н. С. Хрущева в США. Из записной книжкижурналиста]	Молодая гвардия	1959	12	114-123
Сущенко, И			Сибирская кузница. [О городе Сталинске.Из блокнота художника]. Илл. автора	Молодая гвардия	1959	12	124-131
Парфенов, А			Что нам дороже... [Об обликекомсомольского работника. Очерк]	Молодая гвардия	1959	12	146-158
Барашев, П			Первые шаги гиганта. [К вводу в стройатомного ледокола «Ленин»]	Молодая гвардия	1959	12	159-163
Харитановский, А			Человек с «железным» оленем. [Избиографии спортсмена Г. Травина, совершившего велопробегвдольграниц Советского Союза в 1928-1931 гг. Напеч. ссокращениями]	Молодая гвардия	1959	12	164-209
Лордкнпанидзе, Н			Сила правды. [О путях развитиясовременного кино]	Молодая гвардия	1959	12	229-234
			«Молодая гвардия», журн. Москва. Содержаниежурнала... за 1959 год	Молодая гвардия	1959	12	235-238
Агеев, Николай			«Я другого счастья не желаю...»  [Стихи]	Молодая гвардия	1960	1	11
Агашина, Маргарита			«Справилась и с этой труднойношей...» [Стихи]	Молодая гвардия	1960	1	12
Асадов, Эдуард			Только в юности играют... [Стихи]	Молодая гвардия	1960	1	13
Боков, Виктор			Красиво   одеваемся...   [Стихи]	Молодая гвардия	1960	1	15
Журавлев, Василий			«У нас весной медовою...» [Стихи]	Молодая гвардия	1960	1	19
Коваленков, А			Увольнительная. Стихотворение в прозе	Молодая гвардия	1960	1	21
Кузнецов, Вячеслав			Чувство земли. [Стихи]	Молодая гвардия	1960	1	23
Ошанин, Лев			«Сказал мне один мой знакомый...»  [Стихи]	Молодая гвардия	1960	1	124
Марков, Алексей			Звук. [Стихи]	Молодая гвардия	1960	1	124
Реутский, Петр			Красота. [Стихи]	Молодая гвардия	1960	1	125
Смольников, Алексей			«Я прыгаю в копну сухой  соломы...» [Стихи]	Молодая гвардия	1960	1	129
Старшинов, Николай			«Нету от парней тебе отбоя...»[Стихи]	Молодая гвардия	1960	1	132
Субботин, Василий			«Ночною шагаю улицей...»[Стихи]	Молодая гвардия	1960	1	133
Хелемский, Яков			«Горели в руках звеньевыефлажки»... [Стихи]	Молодая гвардия	1960	1	134
Цыбин, Вл			Сила земли. (Из поэмы «Горсть земли»)	Молодая гвардия	1960	1	135
Ладыгин, Н			Утренние зори встречать на селе.  [О связи Горьк с.-х. ин-та с производством]	Молодая гвардия	1960	1	3-10
Асеев, Николай			Осенние стихи	Молодая гвардия	1960	1	11-12
Поперечный, Анатолий			«Я верил в небо дерзостно ислепо...» [Стихи]	Молодая гвардия	1960	1	124-125
Смирнов, Сергей			Из поэмы «Русская красавица»	Молодая гвардия	1960	1	127-128
Фирсов, Владимир			«Земляки! Какое слово —земляки!..» [Стихи]	Молодая гвардия	1960	1	133-134
Семенов, Юлиан			Запах скошенных трав. Рассказ. Илл: Е.Бачурин	Молодая гвардия	1960	1	136-143
Блынский, Дмитрий			«Я шел дорогою,   земною...»  [Стихи]	Молодая гвардия	1960	1	14-15
Опиц, Карл Людвиг			В ранце — маршальский жезл.[Сатирич. повесть. Пер. с нем. и предисл. Д. Бенеславского]. Илл:  К.Хальбриттер	Молодая гвардия	1960	1	144-173
Васильев, Сергей			«Мечтать о Вас, бродить за Вами...»[Стихи]	Молодая гвардия	1960	1	16-17
Викулов, Сергей			Деревенское собрание. [Стихи]	Молодая гвардия	1960	1	17-18
Глазунов, Илья			Клякса и образ. Заметки о некоторыхвопросах современной живописи	Молодая гвардия	1960	1	192-200
Котов, Владимир			«Наши девушки стали красивее...»[Стихи]	Молодая гвардия	1960	1	21-22
Владимиров, Л			Человек и. кнопка. [О перспективахразвития автоматики]. Илл:  Б. Косульников	Молодая гвардия	1960	1	219-230
Туницкий, А			Жители нового дома. Повесть. Илл:  Н.Гордейчик	Молодая гвардия	1960	1	25-121
Шундик, Николай			Гвоздика в росе. [Об успехахмолодых животноводов Рязан. обл. Очерк]	Молодая гвардия	1960	2	3-8
Назым Хикмет			Тартюф-59. Пьеса в 4 д. Пер. с турец: А.Бабаев. Илл:  Е. Бачурин и О. Целков	Молодая гвардия	1960	2	150-195
Феррара, Маурицио			Москва — Нью-Йорк — Москва.[О поездке Н. С. Хрущева в США. Статья итал. журналиста].Пер. ситал	Молодая гвардия	1960	2	196-211
Пинчук, А	Сорокин, А		Регби — «зеленую улицу»	Молодая гвардия	1960	2	212-214
Дмитриев, А			Гуманизм без веры в будущее. [Отворчестве нем. писателя Э. М. Ремарка]	Молодая гвардия	1960	2	215-223
Собчук, Игорь			Ошибка. Рассказ. Илл:  Р. Мусихина	Молодая гвардия	1960	2	29-37
Друнина, Юлия			Мы зажигаем звезды. «Я помню: поднялся в атаку взвод...» — Наказ дочери. — «Паренек уходил навойну...» — Зов земли. — «В коридор поседевших сосен...» —«Так бывало сомною исстари...» [Стихи]	Молодая гвардия	1960	2	38-40
Приставкин, А			Маленькие рассказы:  Нашабиография. — Первый комсорг. — Ноги. — Кедровые орешки.— Папиросы. —Рабочая порция. Илл:  И. Блиоха	Молодая гвардия	1960	2	41-45
Пришвин, Андрей			Река, река таежная. Повесть. Илл: Н.Гордейчик	Молодая гвардия	1960	2	46-93
Харабаров, Иван			Ударная стройка. — Комсомольскаядомна. — «Ни о чем не печалься...» — Обыкновенный подвиг.[Стихи]	Молодая гвардия	1960	2	94-95
Полухин, Юрий			Омут. Повесть. Илл:  Е. Бачурин и О.Целков	Молодая гвардия	1960	2	97-149
Волобуева, И			Рабочий. Стихи	Молодая гвардия	1960	3	10
Жаров, Александр			«С чувством гордости всех извещаем...» Стихи	Молодая гвардия	1960	3	11
Робсон, Поль			Слово друга. [О развитии всемирногодвижения сторонниковмира. Беседа с П. Робсоном]	Молодая гвардия	1960	3	12-15
Гордиенко, Юрий			Камчатские стихи.  Коровы переходят океан. — Земля командора. — Красная рыба. — «От изб, гдепахнет рыбой вяленой...» — «Я не знаю, рыжим или русым...» — Вдолине каменных берез. Илл:  Е. Акишин	Молодая гвардия	1960	3	132-136
Днепров, А			Уравнения Максвелла.  Науч.-фантастич. повесть. Илл:  Е.Акишин	Молодая гвардия	1960	3	137-168
Молдокматов, Абдыкалый			Сюитай. Поэма. Авториз. пер. скиргиз:  В.Фирсов.Илл:  И Незнайкин	Молодая гвардия	1960	3	16-26
Голышев, Н			Суд идет! Записки нар. заседателя	Молодая гвардия	1960	3	169-185
Белов, Василий			Страшнее всего — тишина. [Запискисекретаря райкома комсомола. Грязовецкий район Вологод. обл.]	Молодая гвардия	1960	3	186-198
Ковалев, Дмитрий			На доброе дело. [Стихи]	Молодая гвардия	1960	3	2 (обл.)
Токарев, Константин			Раздумье над полем боя. [О лит.произведениях,посвящ.Великой Отечеств, войне]	Молодая гвардия	1960	3	202-2Ί4
Рубин, Вл			Что же дальше, Джим Диксон? [О произведениях англ. писателей из числа «рассерженной молодежи»]	Молодая гвардия	1960	3	215-221
Мильков, Вл			Пора зрелого вдохновения. [О творчестве поэта Вл. Соколова]	Молодая гвардия	1960	3	222-226
Пришвин, А			Река, река таежная. Повесть. Илл:  Н.Гордейчик	Молодая гвардия	1960	3	27-816
Поперечный, Анатолий			Утро. — Птицу трудноруками поймать...—«В атомное проникли мы ядро...» — «Я разгульные травыкосил...»[Стихи]	Молодая гвардия	1960	3	87-88
Мигунова, М			Антонина Лукина. Рассказ. Илл:  Е. Бачурин и О. Целкоз	Молодая гвардия	1960	3	89-131
Агеев, Николай			Ленинские строки Стихи	Молодая гвардия	1960	4	17
Ковалев, Дмитрий			Наедине. Стихи	Молодая гвардия	1960	4	48
Бакалдин, Виталий			Весна. Стихи	Молодая гвардия	1960	4	57
Волкова, В	Паленов, В		Всегда великий. К 90-летию со дня рождения В. И. Ленина	Молодая гвардия	1960	4	5-16
Успенская, Елена			Третья заповедь. [Повесть]	Молодая гвардия	1960	4	18-46
Парнис, Алексис			Тверской бульвар, 25. Поэма. Пер. с греч: С.Северцев. Илл:  В. Савостьянов	Молодая гвардия	1960	4	197-213
Котов, Владимир			Ленин в жизни Маяковского	Молодая гвардия	1960	4	213-226
Коваленков, А			Рассказы:  Сила воображения. — Выше любви	Молодая гвардия	1960	4	214-217
Соболев, Ал			Школьный учитель Маяковского. [О проф. Пятигор. пед.ин-та В. А. Васильеве]	Молодая гвардия	1960	4	227-229
Баскаков, Вл			Время больших людей.  [Образ современника в советской худож. литературе]	Молодая гвардия	1960	4	232-240
Бобров, Всеволод			Спор на зеленом поле. [К открытиюфутбольного сезона 1960 г.]	Молодая гвардия	1960	4	248-252
Русакова, Л			Высшее человеческое достоинство. [Об успехах бригады комму ни ста ч. труда Н. Папанова. 2-й Моск. часовой завод. Очерк]	Молодая гвардия	1960	4	49-56
Лаптев, Юрий			У горы Непокоряой. Повесть. Илл:  Н. Гордейчик	Молодая гвардия	1960	4	63-196
Волков, Валентин			Дуб. [Стихи]	Молодая гвардия	1960	5	6
Криванчиков, Николай			Неопознанный лейтенант. [Стихи]	Молодая гвардия	1960	5	7
Кулемин, Василий			Я начал замечать... [Стихи]	Молодая гвардия	1960	5	97
Смирнов, Сергей			Большое и малое. [Стихи]	Молодая гвардия	1960	5	98
Яшин, Александр			Нам постигать иные миры... [Стихи]	Молодая гвардия	1960	5	99
Боков, Виктор			Скоростница [Стихи]	Молодая гвардия	1960	5	100
Ковалев, Дмитрий			Время. [Стихи]	Молодая гвардия	1960	5	103
Годенко, Михаил			Автопортрет. [Стихи]	Молодая гвардия	1960	5	104
Винокуров, Евгений			«Мы спорим иногда устало...» [Стихи]	Молодая гвардия	1960	5	106
Кобзев, Игорь			Настоящая любовь. [Стихи]	Молодая гвардия	1960	5	107
Медведев, Феликс			Рабочие рукавицы. [Стихи]	Молодая гвардия	1960	5	109
Марков, Алексей			Разум. [Стихи]	Молодая гвардия	1960	5	110
Балашихин, В	Филатов, А		Троллейбусная литература. [О недостатках приключенческойлитературы]	Молодая гвардия	1960	5	224
Музыря, Александра			Дорога. Рассказ	Молодая гвардия	1960	5	6-7
Знаменский, Анатолий			Прометей № 319. Рассказ	Молодая гвардия	1960	5	10-23
Мартынов, Леонид			Пустота. [Стихи]	Молодая гвардия	1960	5	100-101
Журавлев, Василий			Глухарь. [Стихи]	Молодая гвардия	1960	5	101-102
Соснора, В			За Изюмским бугром. [Стихи]	Молодая гвардия	1960	5	102-103
Смирнов, Дмитрий			«Ехали парни да ухали, охали...» [Стихи]	Молодая гвардия	1960	5	104-105
Вознесенский, Андрей			На плотах. [Стихи]	Молодая гвардия	1960	5	105-106
Полторацкий, Виктор			Суздаль. [Стихи]	Молодая гвардия	1960	5	107-108
Беляков, Владимир			Отец. [Стихи]	Молодая гвардия	1960	5	108-109
Чайковская, Ольга			Болотные огни. Приключенческая повесть	Молодая гвардия	1960	5	111-134
Медников, Анатолий			Это принадлежит истории. [О последних днях Великой Отечеств.войны. Очерк]	Молодая гвардия	1960	5	135-140
Острецова, Лидия			Мой Акбар. [Главы из книги дрессировщицы служебных собак. Спредисл. А. Гитовича]	Молодая гвардия	1960	5	141-160
Поваго, Ф			Конец ляпинской династии. [К вопросу о перевоспитании преступников].Заметки писателя	Молодая гвардия	1960	5	184-201
Зильберборт, Анатолий			Пятиборье XX века	Молодая гвардия	1960	5	202-206
Власенко, А			Джигитовка с рубкой лозы. По поводу некоторых выступлений «Лит. газеты»о произведениях молодых писателей	Молодая гвардия	1960	5	207-209
Елкин, Анатолий			О чувстве полета и силах, сковывающих крылья. [Заметки о соврем.советской поэзии]	Молодая гвардия	1960	5	210-216
Апухтина, В			Над страницами «Молодой гвардии» А. Фадеева	Молодая гвардия	1960	5	217-223
Смирнов, Сергей			Вы только одни... — Угадай-ка! [Лит. пародии]	Молодая гвардия	1960	5	226-227
Козловская, Мария			Счастье рядом с тобой. Повесть. Илл: М. Рудаков	Молодая гвардия	1960	5	24-88
Никитин, Сергей			Рассказы: Мужчины. — Осень, осень... — Мой знакомый леший	Молодая гвардия	1960	5	89-95
Федоров, Василий			Весенняя перекличка поэтов. [К публикации в журн. «Молодаягвардия» подборки стихов советских поэтов]	Молодая гвардия	1960	5	96-110
Фирсов, Владимир			Земля... земля... [Стихи]	Молодая гвардия	1960	5	96-97
Сбитнев, Юрий			Выговор. Рассказ. Илл: Е. Васильев	Молодая гвардия	1960	6	8-9
Гагарин, И			Санька. Рассказ. Илл: М. Рудаков	Молодая гвардия	1960	6	10-17
Гончаров, Виктор			Я видел Индию. [Стихи]: Закат над Гималаями. — Экзотика.Илл. автора	Молодая гвардия	1960	6	102-103
Кучеренко, Иван			Тюльпаны. — Родник. Рассказы	Молодая гвардия	1960	6	104-105
Чайковская, Ольга			Болотные огни. Приключенческая повесть	Молодая гвардия	1960	6	142-183
Сухов, Федор			Унесут меня гуси-лебеди... — В Кара-Кумах.-Аксинья. — «Сновадышу я ромашковым летом...» [Стихи]	Молодая гвардия	1960	6	18-21
Кан, Альберт			Молодежь нового мира. [Америк. писатель о советской молодежи].Пер. с англ	Молодая гвардия	1960	6	184-187
Головин, Г			Обыкновенные парни. [Очерк]. Илл: В. Савостьянов	Молодая гвардия	1960	6	188-197
Мартин, Луис Мас			Первая страница. [О нац.-освободит. борьбе кубин. народа.Статья кубин. журналиста]. Пер. с испан	Молодая гвардия	1960	6	198-213
Томский, Н			Народ и прекрасное. [Задачи эстетич. воспитания]	Молодая гвардия	1960	6	214-221
Рыленков, Николай			Поэзия Александра Твардовского. К 50-летию со днярождения	Молодая гвардия	1960	6	22-24
Герасимов, Иосиф			Парни твоих лет. Повесть. Илл: Е. Бачурин	Молодая гвардия	1960	6	25-100
Васильев, Б	Челышев, Б		«Отец Николая Островского». [О старом большевике Х.П. Чернокозове, упоминаемом в книге Н. А. Островского «Как закалялась сталь»]	Молодая гвардия	1960	6	
Озерова, Ирина			«Я не боюсь работы...» — «Я землю люблю, от березок рябую...» —«Тропинки неторопливые...» — «Вилами цепляя облака...» [Стихи]	Молодая гвардия	1960	7	115
Асадов, Эдуард			«Сдвинув брови, твердыми шагами...» — «Хоть я не зол, но помнитья умею...» [Стихи]	Молодая гвардия	1960	7	116
Макарова, Н			На трибуну входит жизнь. Заметки лектора	Молодая гвардия	1960	7	3-22
Семенов, Юлиан			«РРТ-454». Рассказы: Сковорода. — Два мушкетера. —Сосисочный фарш. — Мене, текел-фарес. Илл: Е. Бачурин	Молодая гвардия	1960	7	102-114
Воробьев, Константин			Настя. Рассказ	Молодая гвардия	1960	7	117-119
Чайковская, Ольга			Болотные огни. Приключенческая повесть	Молодая гвардия	1960	7	124-192
Владимиров, Л			О телевизорах, Сизифе и рабочей чести. [Заметки о качестве пром.продукции]	Молодая гвардия	1960	7	193-206
Есенина, Александра			«Это все мне родное и близкое...» О С. Есенине. Лит. ред. А.А. Коваленкова	Молодая гвардия	1960	7	207-220
Выходцев, П			Поэтическое поколение эпохи спутников. [О творчестве молодыхпоэтов]	Молодая гвардия	1960	7	221-231
Фирсов, Вл			Судьба родословной. — За Советскую власть. — Новые дороги. —Наступленье дня. — На попутной машине. — Дождь. — Бабье лето. — В детстве. [Стихи]	Молодая гвардия	1960	7	23-25
Логинов, Виктор			На то она и любовь... Повесть	Молодая гвардия	1960	7	26-101
Дудин, Михаил			И первым гибнет Герострат. — Есть сказка еще впереди. — До звезд! — Перед дорогой. [Стихи]	Молодая гвардия	1960	8	3-5
Давидьянц, А			Севастопольские рассказы:  Щекотливое дело. — Хозяйки. — Неуважительная причина. — Тайна старого   крейсера. — Улыбка. — Цепная реакция. — Страшнее милиции. — Свергнутая. —Смелая должность. — Подарок. — Граждане Севастополя. — Вишня. —Розы и море	Молодая гвардия	1960	8	11, 17,23, 32-33, 38-39, 49, 54-55, 61, 74-75, 89, 102-103, 109, 116-117
Тряпкин, Николай			«От всех скорбей и дум печальных...» — «Жизнь летит...» — Встреча. [Стихи]	Молодая гвардия	1960	8	120-121
Пермяк, Евгений			Дочь Луны. Рассказ. Илл:  Ю. Копейко	Молодая гвардия	1960	8	122-134
Абрамов, И			Парень со стройки. Рассказ	Молодая гвардия	1960	8	135-139
Сбитнев, Юрий			Короткие рассказы:  Бука. — Случайная встреча. — Ситчик. Илл:  Е. Бачурин	Молодая гвардия	1960	8	140-146
Соловьева, Ариадна			Школа будущего. [Из практики воспитат. работы в интернате № 26. Москва]	Молодая гвардия	1960	8	176-184
Бушин, В			Веник или голик? [О некоторых лит.-критич. выступлениях«Лит. газеты»]	Молодая гвардия	1960	8	187-197
Ильин, Василий			Депутат Брянщины. [О писателе Н. М. Грибачеве]	Молодая гвардия	1960	8	198-205
Есенина, Александра			«Это все мне родное и близкое». О С. Есенине. [Воспоминания]. Лит. редакция А. А. Коваленкова	Молодая гвардия	1960	8	206-221
Зильберборт, А	Фролов, В		Все дороги ведут в Рим. [К предстоящим XVII Олимпийским играм]	Молодая гвардия	1960	8	222-227
Филатов, Артур			Когда плачет жемчуг. [О выращивании искусств.жемчуга в Японии]	Молодая гвардия	1960	8	228-230
Фейгин, Эммануил			Солдат, сын солдата. Повесть. Илл:  М. Рудаков	Молодая гвардия	1960	8	6-119
Кайтуков, Г			Утро. Стихи. Пер. с осет: В. Тушнова	Молодая гвардия	1960	9	99
Цириков, М			Желание. Стихи. Пер. с осет: В. Тушнова	Молодая гвардия	1960	9	101
Гагиев, Г			Родина. Стихи. Пер. с осет: А. Николаев	Молодая гвардия	1960	9	103
Поперечный, Анатолий			Рыба-солнце. Поэма. Илл: С. Еременко	Молодая гвардия	1960	9	108-112
Левушкин, Анатолий			Праздник в Путиле. — Дым. — Горянка. — Карпатский мед. —Плотогон. — Трембита. [Стихи]	Молодая гвардия	1960	9	11, 13, 15, 17, 19
Андреев, Александр			Солнце Ленинграда. — Железные книги. — Весеннее. [Стихи]	Молодая гвардия	1960	9	112-114
Шошин, Владислав			«Там, за Коломной, мир огромный...» — «Пусть радость, как солнце,упрямая...» — Рязань. — «Все, знакомо и все так ново...» [Стихи]	Молодая гвардия	1960	9	115-116
Григорьев, Игорь			Сима, Сима. — У Вороньего камня. —Июль. [Стихи]	Молодая гвардия	1960	9	116-118
Астафьев, В			Звездопад. Повесть	Молодая гвардия	1960	9	119-143
Феррара, Маурицио			Комфорт и бессилие. [Об америк. образе жизни. Статья итал.журналиста]. Пер. с итал	Молодая гвардия	1960	9	147-156
Гуляковский, Евгений			Обретенное имя. Рассказ	Молодая гвардия	1960	9	157-159
Кучеренко, Иван			Однажды в воскресенье. Рассказ	Молодая гвардия	1960	9	160-166
Грудинин, Олег			Пусть и тебя назовут товарищем... [К вопросу о перевоспитанииправонарушителей. Ответ на письма заключенных в связи с повестью автора«Комсомольский патруль», опублик. в журн. «Молодая гвардия» 1958 2].	Молодая гвардия	1960	9	167-172
Спицын, Вадим			Любовь на душу населения. [Проблемы культуры и быта советскоймолодежи. Очерк]	Молодая гвардия	1960	9	173-181
Пермитин, Ефим			Аракуш. К 90-летию со дня рождения С. Н. Сергеева-Ценского	Молодая гвардия	1960	9	182-189, с портр.
Немцов, Вл			Потомки. «голого короля». Заметки об «ультрасовременном искусстве»	Молодая гвардия	1960	9	190-194
Шкерин, Михаил			Советский характер. [Лит.-критич. заметки]	Молодая гвардия	1960	9	195-206
Лебедев, А			Надежна ли вещь, сработанная тобой? [О качестве пром. продукции]	Молодая гвардия	1960	9	207-210
Огнев, Александр			Молодые алтайские рассказчики	Молодая гвардия	1960	9	219-221
Ардасенов, Х			Дорога к высотам. Заметки об осет. прозе	Молодая гвардия	1960	9	227-230
Пальман, Вячеслав			Твой след на земле. Роман. Илл: М. Рудаков	Молодая гвардия	1960	9	3-107
Шаховский, Борис			Из цикла «Мой синий край». [Стихи]: Земляку. — Рыбак. — Зимнийстан. — «Апрель московский занемог...» — «Костры июльского рассвета...» — Пустьговорят, воды немало...»	Молодая гвардия	1960	9	36-39
Гоц, Геннадий			В пути. Стихи	Молодая гвардия	1960	10	11
Ленцов, Владимир			Сталинградская легенда. Стихи	Молодая гвардия	1960	10	63
Балтакис, Альгимантас			Быки моста. — Дележ. [Стихи]. Пер. с литов: Б. Слуцкий	Молодая гвардия	1960	10	123
Ана, Маркос			Письмо миру. [Стихи. Пер. с испан: А. Гелескул]	Молодая гвардия	1960	10	162
Кремер, Викториано			Колыбельная нищих. [Стихи. Пер. с испан: А. Гелескул]	Молодая гвардия	1960	10	163
Фуэртес, Глория			Рехино. [Стихи. Пер. с испан: А. Гелескул]	Молодая гвардия	1960	10	163
Гарсиасоль, Рамон де			Провозглашение надежды. [Стихи. Пер. с испан: Ю.Полухин]	Молодая гвардия	1960	10	164
Везиров, А			Школа новой жизни. Ленинские заветы молодежи и заповедикоммунистич. бригад	Молодая гвардия	1960	10	3-10
Падерин, Иван			Последний удар. Роман. Илл: Е. Васильев	Молодая гвардия	1960	10	12-62
Павлычко, Дмитро			Люблю я жизни быстрину. — Над морем. — Путь ракеты.[Стихи]	Молодая гвардия	1960	10	124-125
Отеро, Блас де			Бильбао. — Поэтика. — Вот голос мой. — «На кухне спитдевчушка...» [Стихи. Пер. с испан: А. Гелескул; В. Семернин;Ю. Полухин]	Молодая гвардия	1960	10	160-162
Назарова, И	Давидьянц, А	Котенко, И	Молодость древнего Ярославля. [Очерк]	Молодая гвардия	1960	10	165-171
Знаменский, Анатолий			Кривизна. [Очерк]	Молодая гвардия	1960	10	172-182
Коваленко, Г			Идут дожди	Молодая гвардия	1960	10	183-192
Ильин, Виктор			Еще одна американская диверсия. [Об использовании америк.разведкой сектантов-иеговистов в целях организации антисоветской пропаганды]	Молодая гвардия	1960	10	193-206
Ветлугин, Вл			Море не исчезнет. [О проектах регулирования уровня Касп. моря]	Молодая гвардия	1960	10	207-209
Григорьев, В			В борьбе за коллективного человека. [О пед. наследии А. С.Макаренко]	Молодая гвардия	1960	10	210-217
Глазунов, Илья			Андрей Рублев. [К 600-летию со дня рождения художника]	Молодая гвардия	1960	10	218-219
Булгаков, Вал			Великому народу — великое будущее. О письмах художника Н. К.Рериха	Молодая гвардия	1960	10	220-228
Леонтьев, Николай			Северные стихи: Красавица Двина. — Половики. — Осень. —Девка-черт. — Холмогорские парни. — Лесная глубинка. — Соловьи Шалакуши. —Девчонка холмогорочка	Молодая гвардия	1960	10	64-63
Пальман, Вячеслав			Твой след на земле. Роман. Илл: М. Рудаков	Молодая гвардия	1960	10	69-158
Кривошеенко, Лев			Залив. — Земля. — «Я тяготел всегда к скульптуре...» — Сапер.— Гроза. — Стальной батальон. [Стихи]	Молодая гвардия	1960	б	53, 55, 57, 59
Глазков, Николай.			Василий Теркин на Луне. [Пародия]	Молодая гвардия	1961	2	238
Владимов, Михаил.			Флаг. Новелла	Молодая гвардия	1961	2	3-4
Чабанивский, Михаил.			Вишневый сад. Рассказ. Пер. с укр: Б. Слуцкий	Молодая гвардия	1961	2	5-6
Ковалев, Дмитрий.			Наш характер. [Стихи]: Память. — Доброе утро. — Фронтовик.— Характер. — Семья. — «Все мимо проезжаю...» — Зацветает рожь. — «Белесый луг стравою по колени...» — «И день...» — Студеная заря	Молодая гвардия	1961	2	7-13
Астафьев, В.			Поросли окопы травой... Рассказ	Молодая гвардия	1961	2	132-135
Никольский, Ник.			16 часов. [О подвиге экипажа танка под командованием лейт. П. Н. Ракаво время Великой Отечеств. войны]. Быль	Молодая гвардия	1961	2	136-173
Осипов, Валерий.			Усинский тракт. Повесть	Молодая гвардия	1961	2	14-43
Сбитнев, Ю.			Имени Октябрьской революции. [О Бакин. вагоностроит. заводе. Очерк]	Молодая гвардия	1961	2	174-177
Сбитнев, Ю.			Имени Октябрьской революции. [О Бакин. вагоностроит. заводе. Очерк]	Молодая гвардия	1961	2	174-177
Немцов, Вл.			Ответ защитнику абстрактного искусства. [В связи с письмом В. Антонова поповоду статьи автора «Потомки голого короля» в журн. «Молодая гвардия» 1960 9, Сприл. текста письма]	Молодая гвардия	1961	2	210-214
Соловьев, Владимир.			Гибель поэта. Драма в 4 актах и 10 карт	Молодая гвардия	1961	2	45-131
Прокофьев, Александр.			Письмо. Стихи	Молодая гвардия	1961	3	93
Сафаров, Назир.			Не уставай, Турсуной! [О Герое Соц. Труда,  механике-водителехлопкоуборочной машины Т. Ахуновой. Колхоз им. Кирова. Чиназский район Ташк. обл.]Докум. повесть	Молодая гвардия	1961	3	170-188
Давидьянц, А.			Люди Целинного края. [Очерк]	Молодая гвардия	1961	3	172-179
Семушкин, Тихон.			Свет полярной ночи. [Отрывок из книги «Норильские встречи»]	Молодая гвардия	1961	3	189-194
Деменчук, Геннадий.			Наши земляки. [О людях Сибири. Очерки]	Молодая гвардия	1961	3	195-201
